offer_id,canonical_id,raw_model_name,credential_label,provider_code,family,canonical_name,plan_type,currency,unit_price_in_per_1m,unit_price_out_per_1m,cache_read_price_per_1m,cache_write_price_per_1m,plan_json,source,scraped_at
6,352,claude-haiku-4-5-20251001,evol-openclaw-proxy,evol,anthropic-claude,claude-haiku-4-5,token,USD,1.00,5.00,,,{},anthropic-pricing,2026-06-12
4,350,claude-opus-4-6,evol-openclaw-proxy,evol,anthropic-claude,claude-opus-4-6,token,USD,5.00,25.00,,,{},anthropic-pricing,2026-06-12
7,353,claude-opus-4-7,evol-openclaw-proxy,evol,anthropic-claude,claude-opus-4-7,token,USD,5.00,25.00,,,{},anthropic-pricing,2026-06-12
8,354,claude-opus-4-8,evol-openclaw-proxy,evol,anthropic-claude,claude-opus-4-8,token,USD,5.00,25.00,,,{},anthropic-pricing,2026-06-12
5,351,claude-sonnet-4-6,evol-openclaw-proxy,evol,anthropic-claude,claude-sonnet-4-6,token,USD,3.00,15.00,,,{},anthropic-pricing,2026-06-12
15,364,deepseek-v3.2,evol-openclaw-proxy,evol,deepseek,deepseek-v3.2,token,USD,0.27,1.10,,,{},deepseek-pricing,2026-06-12
17,120,deepseek-v4-flash,evol-openclaw-proxy,evol,deepseek,deepseek-v4-flash,token,USD,0.14,0.28,0.0028,,"{input_per_1m: 0.14, output_per_1m: 0.28, cache_hit_per_1m: 0.0028, currency: USD}",deepseek-pricing,2026-06-12
16,121,deepseek-v4-pro,evol-openclaw-proxy,evol,deepseek,deepseek-v4-pro,token,USD,0.435,0.87,0.003625,,"{input_per_1m: 0.435, output_per_1m: 0.87, cache_hit_per_1m: 0.003625, currency: USD}",deepseek-pricing,2026-06-12
12,358,gemini-3-flash-preview,evol-openclaw-proxy,evol,google-gemini,gemini-3-flash,token,USD,0.50,3.00,,,{},openrouter-google,2026-06-12
20,370,gemini-3.1-flash-image,evol-openclaw-proxy,evol,google-gemini,gemini-3.1-flash-image,token,USD,0.30,2.50,,,{},openrouter-google,2026-06-12
13,359,gemini-3.1-pro-preview,evol-openclaw-proxy,evol,google-gemini,gemini-3.1-pro,token,USD,2.00,12.00,,,{},openrouter-google,2026-06-12
50,51,glm-4.7,evol-openclaw-proxy,evol,zhipu-glm,glm-4.7,token,CNY,2.00,8.00,,,{},zhipu-pricing,2026-06-12
49,50,glm-5,evol-openclaw-proxy,evol,zhipu-glm,glm-5,token,CNY,4.00,18.00,,,{},zhipu-pricing,2026-06-12
