openai/gpt-5.5|5.00|30.00|cached: 1.25|provider=gpt,scope=model
openai/gpt-5.4|2.50|15.00|cached: 1.25|provider=gpt,scope=model
openai/gpt-5.3-codex|2.50|15.00|codex specific|provider=gpt,scope=model
openai/gpt-4o|2.50|10.00|legacy|provider=gpt,scope=model
openai/gpt-4o-mini|0.15|0.60|legacy|provider=gpt,scope=model
anthropic-claude/claude-opus-4-8|5.00|25.00|latest 2026-06|provider=anthropic-claude,scope=model
anthropic-claude/claude-opus-4-7|5.00|25.00|prior|provider=anthropic-claude,scope=model
anthropic-claude/claude-opus-4-6|5.00|25.00|prior|provider=anthropic-claude,scope=model
anthropic-claude/claude-sonnet-4-6|3.00|15.00|latest sonnet|provider=anthropic-claude,scope=model
anthropic-claude/claude-haiku-4-5|1.00|5.00|latest haiku|provider=anthropic-claude,scope=model
anthropic-claude/claude-3-5-haiku-20241022|0.80|4.00|legacy 3.5|provider=anthropic-claude,scope=model
anthropic-claude/claude-3-5-sonnet-20241022|3.00|15.00|legacy 3.5|provider=anthropic-claude,scope=model
google-gemini/gemini-3.1-pro|2.00|12.00|preview,1M ctx|provider=google-gemini,scope=model
google-gemini/gemini-3-flash|0.50|3.00|preview|provider=google-gemini,scope=model
google-gemini/gemini-3.1-flash-image|0.30|2.50|image gen,per image|provider=google-gemini,scope=model
deepseek/deepseek-v4-pro|0.435|0.87|cache hit: 0.003625|provider=deepseek,scope=model
deepseek/deepseek-v4-flash|0.14|0.28|cache hit: 0.0028|provider=deepseek,scope=model
deepseek/deepseek-v3.2|0.27|1.10|legacy, prior V3|provider=deepseek,scope=model
xai/grok-4.3|1.25|2.50|cached: 0.20,1M ctx|provider=xai,scope=model
zhipu-glm/glm-5.1|6.00|24.00|≤32k input, 8/28 >32k|CNY,provider=zhipu,scope=model
zhipu-glm/glm-5-turbo|5.00|22.00|≤32k input, 7/26 >32k|CNY,provider=zhipu,scope=model
zhipu-glm/glm-5|4.00|18.00|≤32k input, 6/22 >32k|CNY,provider=zhipu,scope=model
zhipu-glm/glm-4.7|2.00|8.00|tiered, ≤32k|CNY,provider=zhipu,scope=model
zhipu-glm/glm-4.6|2.00|8.00|CNY,provider=zhipu,scope=model
zhipu-glm/glm-4.5-air|0.80|2.00|short output|CNY,provider=zhipu,scope=model
zhipu-glm/glm-4.5|1.00|4.00|CNY,provider=zhipu,scope=model
zhipu-glm/glm-4-plus|5.00|2.50|legacy, discounted|CNY,provider=zhipu,scope=model
zhipu-glm/glm-4-air|0.50|0.25|legacy|CNY,provider=zhipu,scope=model
zhipu-glm/glm-4-flash|FREE|FREE|free tier|CNY,provider=zhipu,scope=model
moonshot/kimi-k2.6|0.67|3.39|256k ctx|provider=moonshot,scope=model
moonshot/kimi-k2.5|0.35|1.89|prior|provider=moonshot,scope=model
mimo/mimo-v2.5-pro|0.435|0.87|provider=xiaomi,scope=model
mimo/mimo-v2.5|0.14|0.28|provider=xiaomi,scope=model
mimo/mimo-v2-pro|0.14|0.28|provider=xiaomi,scope=model
mimo/mimo-v2-omni|0.14|0.28|multimodal,provider=xiaomi,scope=model
mimo/mimo-v2-tts|TBD|TBD|tts, char-based,provider=xiaomi,scope=model
mimo/mimo-v2.5-tts|TBD|TBD|tts, char-based,provider=xiaomi,scope=model
mimo/mimo-v2.5-tts-voiceclone|TBD|TBD|tts+clone,provider=xiaomi,scope=model
mimo/mimo-v2.5-tts-voicedesign|TBD|TBD|tts+design,provider=xiaomi,scope=model
mimo/mimo-v2.5-asr|TBD|TBD|asr, time-based,provider=xiaomi,scope=model
minimax/minimax-m3|0.30|1.20|permanent 50% off, ≤512k input,USD,provider=minimax,scope=model
minimax/minimax-m2.7|0.30|1.20|cache read 0.06, write 0.375,USD,provider=minimax,scope=model
minimax/minimax-text-01|TBD|TBD|legacy,provider=minimax,scope=model
minimax/abab6.5s-chat|TBD|TBD|legacy 2024,provider=minimax,scope=model
minimax/abab5.5-chat|TBD|TBD|legacy 2023,provider=minimax,scope=model
mistralai/mistral-medium-3-5|1.50|7.50|provider=mistral,scope=model
mistralai/mistral-small-2603|0.15|0.60|provider=mistral,scope=model
mistralai/mistral-large-2512|0.50|1.50|provider=mistral,scope=model
